Date,Heure,Tag,Alarm
2022/02/01 00:00:06.340 +01:00,3:02:00,1051PI5318,1051PI5318   AIR BLOWER TO F.S. PRESS PV  =  704.2 mmH2O    LO   Recover
2022/02/01 00:00:07.340 +01:00,3:02:00,1051PI5318,1051PI5318   AIR BLOWER TO F.S. PRESS NR
2022/02/01 00:00:37.040 +01:00,5:02:00,1051IL4453AL,1051IL4453AL INTERLOCK ALARM          NR
2022/02/01 00:00:40.040 +01:00,5:02:00,1051PALL5318,1051PALL5318 AIR BLOWER TO F.S. PRESS NR
2022/02/01 00:01:27.290 +01:00,3:00:00,1051FV5313A,1051FV5313A  1ST COMB.   AIRFAN F.C.D MV  =    6.0 %    old=    0.0  [ ONUSER@HIS0253 ]
2022/02/01 00:01:29.290 +01:00,3:02:00,1051FI5312A,1051FI5312A  COMBUSTION AIR FLOW Ch A PV  =  38200 Nm3/hr   LL   Recover
2022/02/01 00:03:55.290 +01:00,3:02:00,1051FI5312B,1051FI5312B  COMBUSTION AIR FLOW Ch B PV  =  37436 Nm3/hr   LL   Recover
2022/02/01 00:03:58.290 +01:00,3:02:00,1051FI5312C,1051FI5312C  COMBUSTION AIR FLOW Ch C PV  =  37627 Nm3/hr   LL   Recover
2022/02/01 00:04:16.340 +01:00,3:02:00,1051FI5312,1051FI5312   COMBUSTION AIR AVE-FLOW  PV  =  37627 Nm3/hr   LL   Recover
2022/02/01 00:04:18.290 +01:00,3:02:00,1051FI5312A,1051FI5312A  COMBUSTION AIR FLOW Ch A PV  =  49469 Nm3/hr   LO   Recover
2022/02/01 00:04:59.290 +01:00,3:02:00,1051FI5312A,1051FI5312A  COMBUSTION AIR FLOW Ch A NR
2022/02/01 00:05:01.290 +01:00,3:02:00,1051FI5312B,1051FI5312B  COMBUSTION AIR FLOW Ch B PV  =  47941 Nm3/hr   LO   Recover
2022/02/01 00:06:03.290 +01:00,3:02:00,1051FI5312B,1051FI5312B  COMBUSTION AIR FLOW Ch B NR
2022/02/01 00:06:04.340 +01:00,3:02:00,1051FI5312C,1051FI5312C  COMBUSTION AIR FLOW Ch C PV  =  48705 Nm3/hr   LO   Recover
2022/02/01 00:06:26.340 +01:00,3:02:00,1051FI5312C,1051FI5312C  COMBUSTION AIR FLOW Ch C NR
2022/02/01 00:06:28.340 +01:00,3:02:00,1051FI5312,1051FI5312   COMBUSTION AIR AVE-FLOW  PV  =  48705 Nm3/hr   LO   Recover
2022/02/01 00:06:44.040 +01:00,3:02:00,1051FI5312,1051FI5312   COMBUSTION AIR AVE-FLOW  NR
2022/02/01 00:06:45.040 +01:00,5:02:00,1051FSLL5312_AL,1051FSLL5312 FSL-5312-COMBUSTION AIR  ALM
2022/02/01 00:07:57.040 +01:00,3:02:00,1051FI5313,1051FI5313   COMBUSTION  AIR FLOW     PV  =  37906 Nm3/hr   LL   Recover
2022/02/01 00:08:03.040 +01:00,3:02:00,1051FI5313,1051FI5313   COMBUSTION  AIR FLOW     PV  =  42338 Nm3/hr   LO   Recover
2022/02/01 00:08:07.340 +01:00,3:02:00,1051FI5313,1051FI5313   COMBUSTION  AIR FLOW     NR
2022/02/01 00:08:09.290 +01:00,3:00:00,1051FV5313B,1051FV5313B  2ND COMB.   AIRFAN F.C.D MV  =    5.0 %    old=    0.0  [ ONUSER@HIS0253 ]
2022/02/01 00:11:10.040 +01:00,3:02:00,1051PI5311,1051PI5311   COMBUSTION AIR PRESSURE  PV  =     66 mmH2O    LO   Recover
2022/02/01 00:11:13.040 +01:00,3:02:00,1051PI5311,1051PI5311   COMBUSTION AIR PRESSURE  NR
2022/02/01 00:11:43.290 +01:00,3:00:00,1051FV5313A,1051FV5313A  1ST COMB.   AIRFAN F.C.D MV  =    5.0 %    old=    6.0  [ ONUSER@HIS0253 ]
2022/02/01 00:11:45.290 +01:00,3:00:00,1051SS5378,1051SS5378   AUTO MANUAL SEL SWITCH   PV  =AUT           old=MAN       [ ONUSER@HIS0253 ]
2022/02/01 00:11:56.340 +01:00,5:02:00,1051FALL5312_AL,1051FALL5312 COMBUSTION AIR FLL LOW   NR
2022/02/01 00:11:58.340 +01:00,5:02:00,1051YALL5311_AL,1051YALL5311 COMBUST AIR FANS STOP    NR
2022/02/01 00:12:48.340 +01:00,5:02:00,1051YALL5312_AL,1051YALL5312 SCANNER COOL FANS STOP   NR
2022/02/01 00:12:50.390 +01:00,4:00:00,1051HS5364,1051HS5364   PURG REQUESTCOMMAND      PV  =REQUEST       old=STOP      [ ONUSER@HIS0253 ]
2022/02/01 00:14:21.140 +01:00,3:00:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      CAS IMAN
2022/02/01 00:14:22.140 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      AUT IMAN
2022/02/01 00:14:30.340 +01:00,3:00:00,1051FV5313A,1051FV5313A  1ST COMB.   AIRFAN F.C.D AUT
2022/02/01 00:14:32.340 +01:00,3:00:00,1051FV5313B,1051FV5313B  2ND COMB.   AIRFAN F.C.D AUT
2022/02/01 00:15:06.040 +01:00,5:02:00,1051XA5312,1051XA5312   MFT (MASTER FUEL TRIP)   NR
2022/02/01 00:15:07.040 +01:00,5:02:00,1051XA5310,1051XA5310   BOILER PURGEREQUEST      ALM
2022/02/01 00:15:10.340 +01:00,4:00:00,1051FV5313AVE,1051FV5313AV 1ST COMB.   AIRFAN F.C.D CAS
2022/02/01 00:15:13.290 +01:00,4:00:00,1051FV5313BVE,1051FV5313BV 2ND COMB.   AIRFAN F.C.D CAS
2022/02/01 00:15:20.340 +01:00,5:02:00,1051ZAH5322,1051ZAH5322  MAIN BRN VENT ZSH-5322   NR
2022/02/01 00:15:21.290 +01:00,5:02:00,1051ZAL5322,1051ZAL5322  MAIN BRN VENT ZSL5322 NC NR
2022/02/01 00:15:40.340 +01:00,3:02:00,1051FI5321A,1051FI5321A  FG FLOW TO  BURNERS      PV  =   2321 kg/hr    LO   Recover
2022/02/01 00:15:42.340 +01:00,3:02:00,1051FI5321A,1051FI5321A  FG FLOW TO  BURNERS      NR
2022/02/01 00:17:12.340 +01:00,3:02:00,1051FI5321,1051FI5321   FG M.H PRESS(UPSTREAM)   PV  = 2517.5 Nm3/hr   LO   Recover
2022/02/01 00:17:14.340 +01:00,3:02:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      PV  = 2517.5 Nm3/hr   LO   Recover
2022/02/01 00:17:42.340 +01:00,3:02:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      NR
2022/02/01 00:17:44.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  0.565 kg/cm2   LL   Recover
2022/02/01 00:18:17.290 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  0.565 kg/cm2   LO   Recover
2022/02/01 00:18:18.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A NR
2022/02/01 00:18:50.390 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  0.610 kg/cm2   LL   Recover
2022/02/01 00:18:52.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  0.610 kg/cm2   LO   Recover
2022/02/01 00:19:25.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B NR
2022/02/01 00:19:28.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  0.510 kg/cm2   LL   Recover
2022/02/01 00:20:00.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  0.510 kg/cm2   LO   Recover
2022/02/01 00:20:02.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C NR
2022/02/01 00:20:04.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  0.560 kg/cm2   LL   Recover
2022/02/01 00:20:05.290 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  0.560 kg/cm2   LO   Recover
2022/02/01 00:21:14.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE NR
2022/02/01 00:21:16.340 +01:00,5:02:00,1051PSLL5324_AL,1051PSLL5324 PSLL5324-FUEL GAS BURNER ALM
2022/02/01 00:22:03.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  0.560 kg/cm2   LL   Recover
2022/02/01 00:22:04.390 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  0.560 kg/cm2   LO   Recover
2022/02/01 00:22:20.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      NR
2022/02/01 00:22:21.340 +01:00,3:02:00,1051FI5321,1051FI5321   FG M.H PRESS(UPSTREAM)   NR
2022/02/01 00:22:55.040 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  2.130 kg/cm2   HI
2022/02/01 00:22:58.040 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  2.130 kg/cm2   HH
2022/02/01 00:24:26.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  2.140 kg/cm2   HI
2022/02/01 00:24:28.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  2.140 kg/cm2   HH
2022/02/01 00:25:05.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  2.075 kg/cm2   HI
2022/02/01 00:25:07.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  2.075 kg/cm2   HH
2022/02/01 00:25:43.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  2.115 kg/cm2   HI
2022/02/01 00:25:45.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  2.115 kg/cm2   HH
2022/02/01 00:25:48.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  2.115 kg/cm2   HI
2022/02/01 00:25:50.390 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  2.115 kg/cm2   HH
2022/02/01 00:26:05.340 +01:00,3:02:00,1051FI5321A,1051FI5321A  FG FLOW TO  BURNERS      PV  =    911 kg/hr    LO
2022/02/01 00:26:06.340 +01:00,3:02:00,1051FI5321,1051FI5321   FG M.H PRESS(UPSTREAM)   PV  = 1537.5 Nm3/hr   LO
2022/02/01 00:26:59.990 +01:00,5:02:00,1051PSHH5324_AL,1051PSHH5324 PSHH5324-FUEL GAS BURNER NR
2022/02/01 00:27:59.340 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      AUT IMAN
2022/02/01 00:28:02.340 +01:00,3:02:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      PV  = 1537.5 Nm3/hr   LO
2022/02/01 00:28:16.340 +01:00,5:02:00,1051XA5310,1051XA5310   BOILER PURGEREQUEST      NR
2022/02/01 00:28:19.340 +01:00,5:02:00,1051ZAL5322,1051ZAL5322  MAIN BRN VENT ZSL5322 NC ALM
2022/02/01 00:28:26.990 +01:00,5:02:00,1051ZAH5322,1051ZAH5322  MAIN BRN VENT ZSH-5322   ALM
2022/02/01 00:28:26.990 +01:00,5:02:00,1051XA5312,1051XA5312   MFT (MASTER FUEL TRIP)   ALM
2022/02/01 00:29:03.290 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  1.315 kg/cm2   HH   Recover
2022/02/01 00:29:05.340 +01:00,3:00:00,1051FV5321,1051FV5321   FG TO BURNERS FLOW CV    AUT
2022/02/01 00:29:07.990 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A PV  =  1.200 kg/cm2   HI   Recover
2022/02/01 00:29:56.340 +01:00,3:02:00,1051PI5324A,1051PI5324A  F.GAS PRESS.TO BRNS.Ch.A NR
2022/02/01 00:29:58.340 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  1.210 kg/cm2   HH   Recover
2022/02/01 00:30:13.040 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B PV  =  1.210 kg/cm2   HI   Recover
2022/02/01 00:30:15.040 +01:00,3:02:00,1051PI5324B,1051PI5324B  F.GAS PRESS.TO BRNS.Ch.B NR
2022/02/01 00:30:38.340 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  1.210 kg/cm2   HH   Recover
2022/02/01 00:30:40.390 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C PV  =  1.210 kg/cm2   HI   Recover
2022/02/01 00:30:45.990 +01:00,3:02:00,1051PI5324C,1051PI5324C  F.GAS PRESS.TO BRNS.Ch.C NR
2022/02/01 00:30:45.990 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.205 kg/cm2   HH   Recover
2022/02/01 00:30:57.290 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE PV  =  1.205 kg/cm2   HI   Recover
2022/02/01 00:30:58.340 +01:00,3:02:00,1051PI5324,1051PI5324   FUEL GAS PRESS BRNS. AVE NR
2022/02/01 00:31:15.290 +01:00,5:02:00,1051PSHH5324_AL,1051PSHH5324 PSHH5324-FUEL GAS BURNER ALM
2022/02/01 00:31:17.340 +01:00,3:00:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      MAN IMAN
2022/02/01 00:31:22.990 +01:00,3:00:00,1051FIC5321,1051FIC5321  FG FLOW TO  BURNERS      MAN IMAN
2022/02/01 00:32:03.290 +01:00,3:00:00,1051FV5321,1051FV5321   FG TO BURNERS FLOW CV    MAN
2022/02/01 00:32:05.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.205 kg/cm2   HH   Recover
2022/02/01 00:33:45.340 +01:00,3:02:00,1051PIC5324,1051PIC5324  FG FLOW TO  BURNERS      PV  =  1.205 kg/cm2   HI   Recover
